person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,credit_score,loan_percent_income,person_home_ownership,loan_intent,previous_loan_defaults_on_file,loan_status
46.0,4974574.0,31,4618668,19.23,807.0,0.9285,OWN,EDUCATION,N,1
22.0,2576105.0,19,3711844,11.76,885.0,1.4409,MORTGAGE,PERSONAL,N,1
40.0,4961671.0,9,4177542,19.15,631.0,0.842,RENT,EDUCATION,N,0
48.0,1254381.0,12,3907619,16.44,468.0,3.1152,OWN,HOMEIMPROVEMENT,N,0
27.0,2166328.0,28,2557482,8.85,505.0,1.1806,OTHER,EDUCATION,N,1
64.0,4582787.0,34,4844549,22.85,820.0,1.0571,RENT,DEBTCONSOLIDATION,N,1
28.0,420146.0,7,4746340,14.69,804.0,11.2969,MORTGAGE,VENTURE,N,1
55.0,4451828.0,28,4319462,19.49,645.0,0.9703,OWN,PERSONAL,N,0
34.0,694026.0,30,1278165,15.52,603.0,1.8417,OTHER,PERSONAL,N,0
37.0,4092863.0,29,3843574,17.27,414.0,0.9391,OTHER,EDUCATION,N,0
56.0,4458080.0,21,3579284,12.15,386.0,0.8029,RENT,VENTURE,N,1
60.0,4524798.0,20,4426447,10.41,394.0,0.9783,OTHER,VENTURE,N,1
24.0,4622089.0,11,2893553,16.22,727.0,0.626,MORTGAGE,EDUCATION,N,1
22.0,1540254.0,10,2908444,14.48,749.0,1.8883,OTHER,MEDICAL,N,1
26.0,418449.0,1,4604927,13.63,840.0,11.0048,RENT,HOMEIMPROVEMENT,N,1
62.0,3000774.0,1,3180663,18.43,301.0,1.0599,OTHER,EDUCATION,N,0
24.0,4580675.0,33,2607381,18.74,377.0,0.5692,RENT,DEBTCONSOLIDATION,Y,0
49.0,4325318.0,2,2680519,7.78,623.0,0.6197,OTHER,VENTURE,N,0
38.0,796275.0,15,44111,12.76,397.0,0.0554,OWN,HOMEIMPROVEMENT,N,1
46.0,274591.0,3,2950134,14.0,409.0,10.7437,RENT,EDUCATION,N,1
64.0,789104.0,22,2313921,8.65,756.0,2.9323,MORTGAGE,HOMEIMPROVEMENT,Y,0
54.0,2748133.0,19,4686637,11.01,787.0,1.7054,MORTGAGE,MEDICAL,Y,1
30.0,4611213.0,24,1549605,7.88,670.0,0.3361,OTHER,VENTURE,Y,0
56.0,3447154.0,29,2325160,23.94,636.0,0.6745,OWN,MEDICAL,N,1
34.0,1484649.0,17,50565,19.52,898.0,0.0341,OTHER,MEDICAL,N,1
51.0,1358468.0,10,1289938,8.49,321.0,0.9496,OTHER,VENTURE,Y,0
35.0,1310152.0,28,621204,7.34,604.0,0.4741,OWN,DEBTCONSOLIDATION,N,1
28.0,3891104.0,16,1048734,19.23,571.0,0.2695,RENT,MEDICAL,N,1
34.0,1133667.0,25,4242537,14.47,,3.7423,MORTGAGE,EDUCATION,N,1
,3373253.0,22,4489143,20.38,745.0,1.3308,OWN,EDUCATION,N,1
60.0,2515885.0,19,1017992,22.7,577.0,0.4046,OTHER,HOMEIMPROVEMENT,N,0
41.0,1030096.0,1,1709304,17.19,676.0,1.6594,RENT,EDUCATION,Y,0
36.0,3740437.0,23,4378110,10.18,531.0,1.1705,OTHER,EDUCATION,N,1
38.0,2351340.0,30,353401,20.3,891.0,0.1503,RENT,HOMEIMPROVEMENT,N,1
44.0,2864766.0,26,2895089,23.25,725.0,1.0106,MORTGAGE,PERSONAL,N,1
46.0,3074537.0,1,1981443,16.86,354.0,0.6445,MORTGAGE,VENTURE,N,0
45.0,4934377.0,13,2412910,18.59,740.0,0.489,RENT,EDUCATION,N,1
61.0,1742173.0,3,3156738,12.74,333.0,1.812,MORTGAGE,HOMEIMPROVEMENT,N,1
49.0,1777059.0,12,254300,13.49,628.0,0.1431,OTHER,MEDICAL,N,1
35.0,1224477.0,35,3660730,19.49,753.0,2.9896,RENT,MEDICAL,Y,0
21.0,1623300.0,34,4355237,22.77,687.0,2.683,OTHER,DEBTCONSOLIDATION,N,1
45.0,447584.0,7,3573069,17.69,729.0,7.983,RENT,EDUCATION,N,1
27.0,1555802.0,1,4983774,20.43,775.0,3.2033,OTHER,VENTURE,N,1
29.0,1042015.0,5,674729,9.92,424.0,0.6475,MORTGAGE,HOMEIMPROVEMENT,N,0
44.0,4925275.0,30,4886335,10.6,822.0,0.9921,OWN,DEBTCONSOLIDATION,N,1
21.0,2633502.0,9,1134232,16.04,781.0,0.4307,OTHER,DEBTCONSOLIDATION,Y,0
64.0,,20,1799695,10.0,616.0,0.8497,RENT,HOMEIMPROVEMENT,Y,0
28.0,1801348.0,9,2466982,17.79,421.0,1.3695,MORTGAGE,HOMEIMPROVEMENT,N,0
44.0,3021259.0,22,3330938,11.96,846.0,1.1025,RENT,HOMEIMPROVEMENT,N,1
31.0,1004741.0,2,3092745,20.46,880.0,3.0782,OTHER,HOMEIMPROVEMENT,Y,0
37.0,3502214.0,31,2166941,20.74,612.0,0.6187,RENT,VENTURE,N,0
28.0,2173615.0,19,3749941,14.88,786.0,1.7252,RENT,HOMEIMPROVEMENT,N,1
55.0,3160087.0,9,1539278,10.07,311.0,0.4871,OTHER,VENTURE,N,1
55.0,4794081.0,28,3232353,18.0,424.0,0.6742,MORTGAGE,VENTURE,N,0
53.0,291449.0,33,179162,23.88,376.0,0.6147,MORTGAGE,VENTURE,Y,0
25.0,2825032.0,36,1611669,17.58,879.0,0.5705,OTHER,MEDICAL,N,1
62.0,4640224.0,19,4600075,7.61,535.0,0.9913,MORTGAGE,PERSONAL,N,0
59.0,3168439.0,7,3730257,7.29,870.0,1.1773,OWN,DEBTCONSOLIDATION,Y,0
61.0,1778662.0,6,3102959,12.45,553.0,1.7445,RENT,EDUCATION,N,1
48.0,285370.0,5,2697434,10.33,705.0,9.4524,OTHER,MEDICAL,N,1
27.0,1006636.0,10,2483301,20.82,542.0,2.4669,OWN,PERSONAL,N,0
29.0,3119791.0,17,2909650,21.36,760.0,0.9326,RENT,DEBTCONSOLIDATION,N,1
,4182516.0,28,2767233,11.4,576.0,0.6616,OTHER,MEDICAL,N,1
32.0,4792681.0,24,1922990,12.54,768.0,0.4012,MORTGAGE,DEBTCONSOLIDATION,N,1
54.0,3094236.0,20,2899888,11.02,519.0,0.9372,OTHER,VENTURE,N,0
53.0,4836134.0,2,3398669,22.44,524.0,0.7028,OTHER,VENTURE,N,0
43.0,1066004.0,17,3722983,15.55,400.0,3.4925,RENT,HOMEIMPROVEMENT,Y,0
44.0,,23,4959888,18.15,806.0,2.8443,RENT,VENTURE,Y,0
57.0,577244.0,37,4545211,14.06,886.0,7.874,RENT,MEDICAL,Y,1
55.0,4848981.0,9,3982622,17.73,630.0,0.8213,OWN,DEBTCONSOLIDATION,N,0
64.0,3705912.0,26,2480319,13.56,536.0,0.6693,MORTGAGE,EDUCATION,N,1
60.0,4863199.0,11,4846363,12.77,638.0,0.9965,OTHER,DEBTCONSOLIDATION,N,1
42.0,1425393.0,6,2109741,17.79,,1.4801,OTHER,VENTURE,N,1
47.0,2664368.0,16,2494319,17.05,464.0,0.9362,MORTGAGE,DEBTCONSOLIDATION,N,0
55.0,2239319.0,0,1989681,11.99,517.0,0.8885,OTHER,PERSONAL,N,0
21.0,2359821.0,25,17711,9.54,675.0,0.0075,RENT,DEBTCONSOLIDATION,N,1
55.0,942330.0,14,1276548,13.27,311.0,1.3547,OTHER,MEDICAL,N,0
57.0,4624843.0,32,4525878,14.06,731.0,0.9786,MORTGAGE,PERSONAL,N,1
34.0,,36,2825839,17.69,382.0,1.4928,OWN,HOMEIMPROVEMENT,Y,0
23.0,416150.0,30,760506,22.55,730.0,1.8275,OWN,HOMEIMPROVEMENT,N,1
21.0,2936905.0,34,2996189,7.62,777.0,1.0202,MORTGAGE,DEBTCONSOLIDATION,Y,1
25.0,1995964.0,0,4463293,11.14,668.0,2.2362,OTHER,EDUCATION,Y,0
46.0,639415.0,7,883002,10.29,440.0,1.381,OTHER,MEDICAL,N,0
34.0,3194287.0,11,3529983,15.54,755.0,1.1051,OWN,EDUCATION,N,1
59.0,3653548.0,18,4508178,14.3,801.0,1.2339,OTHER,PERSONAL,Y,0
47.0,796012.0,24,3292750,19.39,702.0,4.1366,OWN,EDUCATION,N,1
29.0,1785765.0,31,1815166,11.12,587.0,1.0165,MORTGAGE,PERSONAL,N,1
35.0,2735181.0,11,1263159,17.11,,0.4618,MORTGAGE,EDUCATION,N,1
35.0,2419798.0,12,3049933,22.03,642.0,1.2604,OTHER,HOMEIMPROVEMENT,Y,0
46.0,4331726.0,27,4886425,22.48,448.0,1.1281,RENT,MEDICAL,N,0
62.0,3589289.0,0,205507,23.3,509.0,0.0573,RENT,EDUCATION,N,0
33.0,2155534.0,5,475718,20.15,411.0,0.2207,OWN,DEBTCONSOLIDATION,N,1
52.0,282659.0,7,1185370,22.4,835.0,4.1936,MORTGAGE,PERSONAL,N,1
59.0,2748475.0,3,344267,10.99,348.0,0.1253,OWN,DEBTCONSOLIDATION,Y,0
52.0,789872.0,4,3590697,10.36,630.0,4.5459,MORTGAGE,MEDICAL,N,1
24.0,4005798.0,24,2981413,7.11,664.0,0.7443,OWN,DEBTCONSOLIDATION,N,1
50.0,3109470.0,21,4861225,19.02,310.0,1.5634,OWN,HOMEIMPROVEMENT,N,1
57.0,1086320.0,27,116948,22.94,,0.1077,OWN,HOMEIMPROVEMENT,Y,0
43.0,4036912.0,38,2482385,10.18,808.0,0.6149,OTHER,VENTURE,Y,0
59.0,4611902.0,22,1647346,17.83,879.0,0.3572,RENT,MEDICAL,N,1
35.0,1797824.0,3,1389912,19.69,744.0,0.7731,MORTGAGE,EDUCATION,N,1
63.0,1300997.0,3,621442,22.77,389.0,0.4777,OWN,HOMEIMPROVEMENT,N,0
49.0,3533973.0,20,3766082,18.0,747.0,1.0657,RENT,EDUCATION,N,1
56.0,4275903.0,36,2325632,23.49,331.0,0.5439,OWN,EDUCATION,N,1
33.0,582829.0,1,2623137,12.86,626.0,4.5007,OWN,PERSONAL,Y,0
52.0,4561054.0,6,1742266,12.95,373.0,0.382,MORTGAGE,DEBTCONSOLIDATION,N,1
27.0,4464896.0,15,4332818,16.23,,0.9704,OTHER,EDUCATION,N,0
42.0,384000.0,16,2926561,13.52,749.0,7.6213,OWN,VENTURE,N,1
48.0,3027429.0,19,4209287,7.02,654.0,1.3904,MORTGAGE,MEDICAL,Y,0
22.0,472137.0,22,705269,19.44,832.0,1.4938,OTHER,MEDICAL,N,1
62.0,3173504.0,33,1035926,19.78,595.0,0.3264,OTHER,PERSONAL,N,0
26.0,2755221.0,10,3351280,19.7,597.0,1.2163,RENT,VENTURE,N,1
48.0,,33,3832417,12.87,627.0,0.9415,RENT,DEBTCONSOLIDATION,N,1
48.0,3513244.0,32,4372110,15.88,601.0,1.2445,OWN,VENTURE,N,0
64.0,4723957.0,25,2836866,13.12,811.0,0.6005,RENT,MEDICAL,N,1
64.0,2450269.0,1,3394754,7.27,637.0,1.3855,MORTGAGE,VENTURE,N,1
40.0,4581373.0,22,651800,16.56,884.0,0.1423,MORTGAGE,DEBTCONSOLIDATION,N,1
50.0,716510.0,21,76786,9.1,673.0,0.1072,RENT,HOMEIMPROVEMENT,N,1
,4131383.0,33,2374054,8.36,852.0,0.5746,MORTGAGE,EDUCATION,N,1
48.0,1440894.0,14,1423387,19.84,393.0,0.9878,MORTGAGE,EDUCATION,N,0
45.0,858092.0,9,4286977,7.16,431.0,4.9959,OWN,MEDICAL,N,1
59.0,1247996.0,14,2260056,23.3,352.0,1.8109,OWN,MEDICAL,N,1
53.0,749792.0,28,2366263,15.76,795.0,3.1559,MORTGAGE,DEBTCONSOLIDATION,Y,0
21.0,1725326.0,22,4843461,23.71,528.0,2.8073,RENT,VENTURE,N,0
47.0,2518756.0,16,3599609,7.99,511.0,1.4291,MORTGAGE,DEBTCONSOLIDATION,N,1
33.0,4967911.0,8,1303520,16.92,803.0,0.2624,OTHER,PERSONAL,N,1
61.0,4076690.0,35,2542230,12.94,794.0,0.6236,OTHER,MEDICAL,N,1
23.0,818629.0,8,4486176,21.34,532.0,5.4801,OTHER,MEDICAL,N,1
59.0,1852457.0,15,4045702,13.14,370.0,2.184,OWN,MEDICAL,N,0
26.0,1321248.0,35,4035725,11.43,488.0,3.0545,RENT,DEBTCONSOLIDATION,N,0
28.0,3754886.0,32,443073,21.58,307.0,0.118,MORTGAGE,DEBTCONSOLIDATION,N,0
47.0,,30,1479975,13.37,631.0,0.965,RENT,VENTURE,N,1
29.0,663953.0,5,491537,7.29,315.0,0.7403,RENT,HOMEIMPROVEMENT,N,0
57.0,4388340.0,9,3939570,13.63,392.0,0.8977,RENT,MEDICAL,Y,0
53.0,4713653.0,15,4853611,18.13,561.0,1.0297,OTHER,HOMEIMPROVEMENT,N,1
62.0,835503.0,3,2096866,11.32,848.0,2.5097,MORTGAGE,DEBTCONSOLIDATION,N,1
64.0,572641.0,21,4599684,14.34,460.0,8.0324,OWN,VENTURE,N,0
44.0,2073217.0,12,3539161,7.96,650.0,1.7071,RENT,DEBTCONSOLIDATION,N,1
35.0,487283.0,15,2593092,17.0,473.0,5.3215,RENT,PERSONAL,N,0
52.0,1728232.0,28,1827389,19.86,616.0,1.0574,OTHER,EDUCATION,N,0
52.0,4927421.0,5,1585685,14.03,317.0,0.3218,OTHER,EDUCATION,N,1
44.0,541180.0,25,4521538,14.14,785.0,8.355,MORTGAGE,DEBTCONSOLIDATION,Y,1
61.0,3849243.0,10,1474308,8.5,666.0,0.383,OWN,EDUCATION,Y,0
32.0,4978022.0,23,1986553,10.43,650.0,0.3991,OWN,EDUCATION,N,1
59.0,2647934.0,28,1232178,9.63,827.0,0.4653,OTHER,VENTURE,N,1
22.0,728110.0,2,4198084,15.19,734.0,5.7657,MORTGAGE,EDUCATION,Y,0
23.0,4368346.0,9,4150946,16.0,569.0,0.9502,RENT,VENTURE,N,0
57.0,4752606.0,0,233626,23.13,367.0,0.0492,MORTGAGE,PERSONAL,N,1
,2860864.0,25,2343731,8.24,329.0,0.8192,OWN,MEDICAL,N,1
22.0,4493699.0,11,4142313,17.2,615.0,0.9218,OTHER,MEDICAL,N,0
22.0,,13,2501231,15.95,463.0,0.6478,RENT,MEDICAL,N,0
,3285609.0,24,2647588,15.78,619.0,0.8058,RENT,VENTURE,Y,0
43.0,1085783.0,7,1113035,21.84,313.0,1.0251,OWN,VENTURE,N,0
57.0,2309932.0,3,4026384,10.49,578.0,1.7431,RENT,VENTURE,N,1
52.0,3056492.0,27,1575831,7.69,731.0,0.5156,MORTGAGE,PERSONAL,N,1
53.0,,6,4296258,18.43,562.0,2.2429,OWN,HOMEIMPROVEMENT,N,0
21.0,3684150.0,9,954545,12.87,821.0,0.2591,OWN,VENTURE,N,1
39.0,1891888.0,35,4817971,7.3,471.0,2.5466,RENT,VENTURE,N,1
22.0,3396434.0,1,293197,11.27,,0.0863,OWN,MEDICAL,N,1
64.0,272019.0,25,892816,12.26,312.0,3.2822,OTHER,DEBTCONSOLIDATION,N,1
46.0,4716156.0,13,506626,17.49,531.0,0.1074,MORTGAGE,EDUCATION,N,1
52.0,1915317.0,15,3324004,9.93,775.0,1.7355,OWN,EDUCATION,N,1
26.0,329001.0,16,1756176,14.02,770.0,5.3379,OTHER,PERSONAL,N,1
52.0,3042927.0,21,4436719,15.2,459.0,1.458,RENT,EDUCATION,Y,0
24.0,3395988.0,3,464318,14.81,859.0,0.1367,OWN,HOMEIMPROVEMENT,N,1
31.0,834494.0,18,3295091,23.56,560.0,3.9486,OTHER,MEDICAL,Y,0
37.0,3277022.0,1,288429,7.77,872.0,0.088,RENT,PERSONAL,N,1
58.0,3998189.0,38,4528037,23.17,658.0,1.1325,OTHER,EDUCATION,N,1
44.0,743731.0,8,635329,16.89,554.0,0.8542,RENT,EDUCATION,N,0
25.0,2566826.0,18,1933884,20.53,814.0,0.7534,MORTGAGE,DEBTCONSOLIDATION,N,1
54.0,4440447.0,15,1637255,14.32,579.0,0.3687,OWN,MEDICAL,N,1
26.0,4013741.0,24,4205911,14.72,416.0,1.0479,MORTGAGE,PERSONAL,Y,0
42.0,294771.0,17,3158681,21.95,461.0,10.7157,MORTGAGE,MEDICAL,N,0
31.0,1158923.0,22,1004426,22.23,597.0,0.8667,OWN,PERSONAL,N,0
36.0,3148111.0,20,2955267,11.06,596.0,0.9387,MORTGAGE,EDUCATION,N,1
53.0,1970908.0,10,3881306,10.39,893.0,1.9693,MORTGAGE,MEDICAL,N,1
29.0,1867534.0,38,3137813,15.44,657.0,1.6802,OTHER,MEDICAL,N,1
26.0,261362.0,3,921974,22.3,817.0,3.5276,RENT,HOMEIMPROVEMENT,Y,0
36.0,4066533.0,24,1671393,12.48,677.0,0.411,MORTGAGE,DEBTCONSOLIDATION,N,1
49.0,2186503.0,31,4918394,18.08,725.0,2.2494,OWN,MEDICAL,N,1
23.0,4520602.0,29,3416820,19.04,836.0,0.7558,OTHER,PERSONAL,Y,0
40.0,2830990.0,25,2458466,20.24,852.0,0.8684,RENT,HOMEIMPROVEMENT,N,1
56.0,4817592.0,35,1478084,16.59,468.0,0.3068,MORTGAGE,MEDICAL,N,1
39.0,2512854.0,33,2676551,13.84,814.0,1.0651,MORTGAGE,MEDICAL,Y,0
46.0,2559409.0,8,3100109,23.44,663.0,1.2113,OWN,HOMEIMPROVEMENT,N,1
23.0,3200999.0,11,478897,17.39,729.0,0.1496,MORTGAGE,EDUCATION,N,1
39.0,1889122.0,1,3382053,19.39,868.0,1.7903,OWN,MEDICAL,N,1
40.0,3201622.0,37,4505939,,382.0,1.4074,MORTGAGE,VENTURE,N,1
52.0,2936281.0,4,3172633,18.39,629.0,1.0805,MORTGAGE,DEBTCONSOLIDATION,N,0
27.0,925292.0,4,1183767,11.38,432.0,1.2793,OWN,EDUCATION,Y,0
61.0,4077352.0,21,3313034,11.17,897.0,0.8125,RENT,MEDICAL,N,1
53.0,2483647.0,4,76538,19.15,756.0,0.0308,OTHER,EDUCATION,N,1
60.0,3873234.0,3,4892237,15.86,652.0,1.2631,OWN,PERSONAL,N,1
59.0,2060217.0,8,1938347,18.62,643.0,0.9408,RENT,EDUCATION,N,1
38.0,1750741.0,28,2369177,11.58,393.0,1.3532,RENT,HOMEIMPROVEMENT,N,1
60.0,339073.0,21,4399696,17.18,681.0,12.9757,OWN,MEDICAL,N,1
,509281.0,26,1187569,14.55,594.0,2.3319,OTHER,EDUCATION,N,1
31.0,3257548.0,9,2904914,17.15,497.0,0.8917,OWN,VENTURE,Y,0
48.0,4564011.0,15,4351387,11.94,378.0,0.9534,MORTGAGE,PERSONAL,N,1
45.0,2488401.0,9,1142113,19.16,850.0,0.459,MORTGAGE,PERSONAL,Y,0
43.0,1235610.0,5,4789577,20.7,513.0,3.8763,RENT,EDUCATION,Y,0
51.0,4515693.0,4,441508,11.42,458.0,0.0978,MORTGAGE,HOMEIMPROVEMENT,N,1
50.0,4008884.0,5,4850896,12.11,856.0,1.21,OTHER,PERSONAL,N,1
62.0,1209165.0,24,146322,18.24,500.0,0.121,OWN,EDUCATION,N,1
55.0,4083817.0,3,268116,18.82,321.0,0.0657,OTHER,EDUCATION,N,1
27.0,3656172.0,39,3965449,18.97,638.0,1.0846,RENT,PERSONAL,Y,0
36.0,975963.0,31,2140239,18.61,541.0,2.193,MORTGAGE,EDUCATION,N,1
,726515.0,34,2143520,13.68,,2.9504,MORTGAGE,EDUCATION,N,1
22.0,2512460.0,9,1703512,13.71,448.0,0.678,OWN,DEBTCONSOLIDATION,N,1
21.0,4437382.0,33,3246421,11.33,878.0,0.7316,OTHER,VENTURE,Y,0
,2200053.0,35,4787492,9.67,306.0,2.1761,OTHER,EDUCATION,Y,0
25.0,909401.0,5,2807678,18.77,532.0,3.0874,OWN,DEBTCONSOLIDATION,N,1
57.0,2135681.0,15,2263557,8.58,878.0,1.0599,MORTGAGE,DEBTCONSOLIDATION,N,1
52.0,2711913.0,18,1878058,22.94,376.0,0.6925,RENT,EDUCATION,Y,0
29.0,1969231.0,33,1680663,21.05,788.0,0.8535,RENT,HOMEIMPROVEMENT,N,1
61.0,4217784.0,24,4604641,21.58,386.0,1.0917,OWN,PERSONAL,N,0
55.0,3485379.0,30,2777189,22.41,521.0,0.7968,OWN,DEBTCONSOLIDATION,N,1
39.0,1699317.0,16,2980993,13.95,712.0,1.7542,OWN,DEBTCONSOLIDATION,N,1
36.0,4412511.0,29,1566610,21.39,883.0,0.355,OTHER,HOMEIMPROVEMENT,N,1
23.0,1038698.0,38,1846301,9.69,501.0,1.7775,MORTGAGE,MEDICAL,N,0
40.0,3636142.0,30,3047099,7.37,870.0,0.838,MORTGAGE,HOMEIMPROVEMENT,N,1
44.0,,18,1557053,20.34,575.0,0.6602,OWN,MEDICAL,Y,0
53.0,1709657.0,34,321356,8.27,520.0,0.188,RENT,MEDICAL,N,1
44.0,2381946.0,28,3108787,23.8,456.0,1.3051,OTHER,HOMEIMPROVEMENT,N,0
31.0,4030323.0,0,3231004,18.47,480.0,0.8017,OWN,VENTURE,N,0
28.0,695726.0,3,2868968,19.81,428.0,4.1237,OTHER,HOMEIMPROVEMENT,N,0
56.0,2830259.0,27,4154101,11.18,542.0,1.4677,OWN,DEBTCONSOLIDATION,N,1
58.0,,17,3579073,18.46,471.0,6.0432,OTHER,PERSONAL,N,0
60.0,640999.0,25,4046454,7.73,802.0,6.3127,RENT,HOMEIMPROVEMENT,N,1
40.0,3339189.0,39,2204999,21.24,779.0,0.6603,RENT,VENTURE,N,1
55.0,4962066.0,18,787725,9.88,569.0,0.1587,RENT,HOMEIMPROVEMENT,N,1
45.0,557407.0,5,1353961,18.86,720.0,2.429,RENT,VENTURE,N,1
55.0,1021158.0,0,3514043,10.82,462.0,3.4412,MORTGAGE,PERSONAL,N,0
45.0,1453306.0,7,3825922,8.16,323.0,2.6326,MORTGAGE,EDUCATION,Y,0
49.0,570602.0,32,269966,15.19,796.0,0.4731,OTHER,VENTURE,N,1
38.0,3982809.0,20,1741126,9.88,492.0,0.4372,OWN,VENTURE,N,1
38.0,1777650.0,23,4277136,19.4,689.0,2.4061,MORTGAGE,DEBTCONSOLIDATION,N,1
22.0,206635.0,24,1342103,11.04,796.0,6.495,OWN,VENTURE,N,1
55.0,,18,3922062,12.82,428.0,1.302,OTHER,PERSONAL,N,1
36.0,2493136.0,28,2493587,16.65,852.0,1.0002,OWN,MEDICAL,N,1
61.0,4572888.0,9,4097892,11.84,,0.8961,RENT,VENTURE,N,1
56.0,3714360.0,11,4191717,13.43,335.0,1.1285,RENT,PERSONAL,N,0
53.0,1870444.0,32,4993410,20.87,756.0,2.6696,MORTGAGE,DEBTCONSOLIDATION,N,1
24.0,235166.0,6,1434820,10.05,660.0,6.1013,OTHER,DEBTCONSOLIDATION,N,1
53.0,2623006.0,16,1798976,8.4,514.0,0.6858,MORTGAGE,EDUCATION,Y,0
34.0,3593571.0,9,3574610,12.58,586.0,0.9947,MORTGAGE,VENTURE,N,0
41.0,4128966.0,30,2040934,14.21,668.0,0.4943,MORTGAGE,MEDICAL,N,1
40.0,4014856.0,5,3284272,16.23,768.0,0.818,OTHER,PERSONAL,N,1
28.0,447883.0,16,2028422,13.33,485.0,4.5289,RENT,EDUCATION,N,0
27.0,4507356.0,36,2144707,20.43,773.0,0.4758,RENT,MEDICAL,Y,0
